player_id,player_name,games_p1,games_p2,bb_score_p1,bb_score_p2,tear2_p1,tear2_p2,tear3_p1,tear3_p2,tear4_p1,tear4_p2,tear5_p1,tear5_p2,longest_tear_p1,longest_tear_p2,boom_rate_p1,boom_rate_p2,best_week_p1,best_week_p2,top3_avg_p1,top3_avg_p2,iv_p1,iv_p2,iv_tier_p1,iv_tier_p2,mean_week_p1,mean_week_p2,std_week_p1,std_week_p2,useful_pct_p1,useful_pct_p2,useful_ppw_p1,useful_ppw_p2,useful_total_p1,useful_total_p2,useful_eff_p1,useful_eff_p2,useful_count_p1,useful_count_p2,wasted_p1,wasted_p2,high_week_rate_p1,high_week_rate_p2,top5_pct_p1,top5_pct_p2,weekly_cv_p1,weekly_cv_p2,tear2_count_p1,tear2_count_p2,tear3_count_p1,tear3_count_p2,boom_count_p1,boom_count_p2,high_week_count_p1,high_week_count_p2,bb_change,tear_profile_p1,tear_profile_p2,boom_profile_p1
677587,Brayan Rocchio,32,79,21.49,19.27,6.25,6.33,3.12,1.27,0.0,0.0,0.0,0.0,3,3,12.5,10.126582278481013,42.0,57.0,36.0,55.666666666666664,0.6529271601172556,0.7714319822099385,Low-Vol,Low-Vol,17.21875,35.64556962025316,10.184537220075185,12.590226138662285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,107.0,462.0,3.125,48.10126582278481,30.490018148820326,9.623579545454545,0.5914794755760543,0.3532059179525286,2,5,1,1,4,8,1,38,-2.219999999999999,Low (0-5),Low (0-5),High (10-15%)
669397,Nick Allen,65,65,20.81,17.62,7.69,3.08,4.62,0.0,0.0,0.0,0.0,0.0,3,2,10.76923076923077,12.307692307692308,42.0,37.0,42.0,36.333333333333336,0.6672295234819446,0.5877108339519824,Low-Vol,Low-Vol,22.8,16.53846153846154,10.407629413079619,9.59178835494997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,277.0,193.0,7.6923076923076925,0.0,14.102564102564102,16.093023255813954,0.456474974257878,0.5799685982062771,5,2,3,0,7,8,5,0,-3.1899999999999977,Low (0-5),No Tears,High (10-15%)
683734,Andrew Vaughn,48,64,21.09,53.78,2.08,4.69,0.0,0.0,0.0,0.0,0.0,0.0,2,2,12.5,10.9375,50.0,114.0,49.333333333333336,100.66666666666667,0.77565053220539,1.325859077756219,Low-Vol,Normal,27.791666666666668,42.015625,12.098810093300864,21.63880420037628,0.0,16.666666666666664,0.0,79.0,0.0,158.0,0.0,5.875790256600967,0,2,226.0,335.0,14.583333333333334,45.3125,18.065967016491754,17.590182223875047,0.43533949361202506,0.5150180248509044,1,3,0,0,6,7,7,29,32.69,No Tears,No Tears,High (10-15%)
650968,Yohel Pozo,24,39,18.2,16.47,4.17,7.69,0.0,2.56,0.0,0.0,0.0,0.0,2,3,12.5,10.256410256410255,36.0,30.0,30.666666666666668,27.666666666666668,0.5462762689235641,0.508133978764483,Low-Vol,Low-Vol,12.458333333333334,11.743589743589743,8.520967319381704,8.293047020238824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,117.0,129.0,0.0,0.0,43.47826086956522,28.82096069868996,0.6839572430272939,0.7061764929897689,1,3,0,1,3,4,0,0,-1.7300000000000004,No Tears,Low (0-5),High (10-15%)
683737,Michael Busch,71,83,56.83,61.2,7.04,7.23,4.23,2.41,0.0,0.0,0.0,0.0,3,3,11.267605633802818,10.843373493975903,109.0,108.0,95.0,106.33333333333333,1.4334835299722248,1.5750619472947807,High-IV,High-IV,42.436619718309856,46.096385542168676,22.35986991679909,25.70594239823259,28.57142857142857,28.57142857142857,62.5,81.0,250.0,324.0,8.29737802854298,8.468374281233665,4,4,306.0,336.0,49.29577464788733,49.39759036144578,14.769332890806504,13.643491897543125,0.5269003531671874,0.5576563562606651,5,6,3,2,8,9,35,41,4.3700000000000045,Low (0-5),Low (0-5),High (10-15%)
677594,Julio Rodríguez,75,85,47.62,65.38,4.0,4.71,1.33,2.35,0.0,0.0,0.0,0.0,3,3,10.666666666666668,10.588235294117647,91.0,103.0,80.33333333333333,97.66666666666667,0.9205795303665997,1.2058575980752504,Low-Vol,Normal,48.42666666666667,60.31764705882353,14.359452422494176,19.68030908868889,23.076923076923077,57.14285714285714,64.33333333333333,77.875,193.0,623.0,5.313876651982379,12.15135556855861,3,8,420.0,254.0,78.66666666666666,80.0,10.490088105726873,9.284181782718939,0.2965195296495218,0.32627779842764887,3,4,1,2,8,9,59,68,17.759999999999998,Low (0-5),Low (0-5),High (10-15%)
677595,Ronny Mauricio,15,43,35.08,25.34,6.67,6.98,6.67,2.33,0.0,0.0,0.0,0.0,3,3,13.333333333333334,11.627906976744185,61.0,53.0,54.333333333333336,52.0,1.3630904576448246,1.0470153874937758,High-IV,Normal,27.733333333333334,19.837209302325583,21.26185943577529,17.087910280103408,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,77.0,203.0,40.0,16.27906976744186,62.25961538461539,29.89449003516999,0.7666535854245897,0.8614069660544508,1,3,1,1,2,5,6,7,-9.739999999999998,Moderate (5-15),Low (0-5),High (10-15%)
628451,Andy Ibáñez,44,42,21.13,22.55,4.55,7.14,2.27,4.76,0.0,0.0,0.0,0.0,3,3,13.636363636363635,11.904761904761903,40.0,36.0,36.0,34.666666666666664,0.6018694519962526,0.6861564250262502,Low-Vol,Low-Vol,16.15909090909091,11.642857142857142,9.38812506188482,11.198478617426018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,177.0,131.0,2.272727272727273,0.0,23.488045007032348,34.96932515337423,0.5809810164879494,0.9618325192881243,2,3,1,2,6,5,1,0,1.4200000000000017,Low (0-5),Low (0-5),High (10-15%)
657136,Connor Wong,23,32,17.62,20.51,4.35,6.25,4.35,3.12,0.0,0.0,0.0,0.0,3,3,13.043478260869565,12.5,17.0,33.0,15.333333333333334,30.333333333333332,0.2794184360467492,0.5898500592383188,Low-Vol,Low-Vol,7.782608695652174,12.6875,4.358445529180105,9.626701776661319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,65.0,135.0,0.0,0.0,39.66480446927375,34.72906403940887,0.5600237272130861,0.7587548198353748,1,2,1,1,3,4,0,0,2.8900000000000006,Low (0-5),Low (0-5),High (10-15%)
681715,Heriberto Hernández,16,70,29.58,44.54,6.25,5.71,6.25,2.86,0.0,0.0,0.0,0.0,3,3,12.5,11.428571428571429,52.0,70.0,45.333333333333336,70.0,1.0044215255627844,1.0165138901397337,Normal,Normal,22.5625,35.98571428571429,15.667242897204344,16.590107806118485,0.0,7.142857142857142,0.0,60.0,0.0,60.0,0.0,2.3818975784041285,0,1,82.0,402.0,12.5,42.857142857142854,56.232686980609415,13.219531560142913,0.6943930369952064,0.46101927210333227,1,4,1,2,2,8,2,30,14.96,Moderate (5-15),Low (0-5),High (10-15%)
