player_id,player_name,games_p1,games_p2,bb_score_p1,bb_score_p2,tear2_p1,tear2_p2,tear3_p1,tear3_p2,tear4_p1,tear4_p2,tear5_p1,tear5_p2,longest_tear_p1,longest_tear_p2,boom_rate_p1,boom_rate_p2,best_week_p1,best_week_p2,top3_avg_p1,top3_avg_p2,iv_p1,iv_p2,iv_tier_p1,iv_tier_p2,mean_week_p1,mean_week_p2,std_week_p1,std_week_p2,useful_pct_p1,useful_pct_p2,useful_ppw_p1,useful_ppw_p2,bb_change,tear_profile_p1,tear_profile_p2,boom_profile_p1
628452,Raisel Iglesias,29,41,20.9,22.89,6.9,21.95,3.45,7.32,0.0,2.44,0.0,2.44,3,5,10.344827586206897,12.195121951219512,24.15,20.65,21.433333333333334,19.55,0.8775491464574559,0.7241409293202952,Low-Vol,Low-Vol,7.567241379310344,11.447560975609756,6.353166756233642,5.280494191118765,0.0,0.0,0.0,0.0,1.990000000000002,Low (0-5),Moderate (5-15),High (10-15%)
673513,Yuki Matsui,32,29,20.9,18.08,6.25,10.34,0.0,0.0,0.0,0.0,0.0,0.0,2,2,12.5,10.344827586206897,20.45,16.85,20.2,15.200000000000001,0.9680760618044938,0.9026539748881918,Low-Vol,Low-Vol,8.94375,5.586206896551725,7.008551803839134,6.582225749152628,0.0,0.0,0.0,0.0,-2.8200000000000003,No Tears,No Tears,High (10-15%)
687863,Porter Hodge,21,15,22.08,20.15,9.52,6.67,0.0,0.0,0.0,0.0,0.0,0.0,2,2,14.285714285714285,13.333333333333334,16.05,16.45,14.533333333333333,15.333333333333334,0.830783558207386,0.7631392121537162,Low-Vol,Low-Vol,5.223809523809524,9.073333333333332,6.014599301857503,5.56487282188996,0.0,0.0,0.0,0.0,-1.9299999999999997,No Tears,No Tears,High (10-15%)
683769,Hunter Gaddis,33,40,19.72,19.79,6.06,10.0,3.03,2.5,3.03,0.0,0.0,0.0,4,3,12.121212121212121,10.0,19.2,18.4,17.55,18.383333333333333,0.7175581029975225,0.9859715591125081,Low-Vol,Low-Vol,9.033333333333333,9.283750000000001,5.194884302529428,7.189784308130245,0.0,0.0,0.0,0.0,0.07000000000000028,Low (0-5),Low (0-5),High (10-15%)
669438,Mason Englert,13,17,24.62,21.09,0.0,11.76,0.0,0.0,0.0,0.0,0.0,0.0,0,2,15.384615384615385,11.76470588235294,23.1,24.55,18.466666666666665,20.783333333333335,0.9272183941956693,0.9583639499731971,Low-Vol,Low-Vol,10.126923076923077,9.88529411764706,6.712755748840393,6.988467390679321,0.0,0.0,0.0,0.0,-3.530000000000001,No Tears,No Tears,Elite (15%+)
579328,Yusei Kikuchi,16,17,34.16,44.03,6.25,5.88,6.25,0.0,0.0,0.0,0.0,0.0,3,2,12.5,11.76470588235294,50.650000000000006,41.35,45.75,39.266666666666666,1.9339785281777178,1.8508439230193074,Gamma,Gamma,27.181250000000002,20.51764705882353,14.001367492736795,13.496503496003958,0.0,14.285714285714285,0.0,38.325,9.870000000000005,Moderate (5-15),No Tears,High (10-15%)
673540,Kodai Senga,13,9,46.23,22.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,15.384615384615385,11.11111111111111,45.3,27.9,44.866666666666674,22.3,1.226810368596195,1.0712017715007942,Normal,Normal,36.03846153846154,13.73333333333333,8.8817029580986,7.8112899062830845,18.181818181818183,0.0,37.575,0.0,-23.519999999999996,No Tears,No Tears,Elite (15%+)
573204,Caleb Thielbar,33,34,15.03,18.93,3.03,5.88,0.0,2.94,0.0,0.0,0.0,0.0,2,3,12.121212121212121,11.76470588235294,16.1,17.4,13.933333333333332,15.65,0.5190491025774153,0.7045167464408428,Low-Vol,Low-Vol,7.342424242424242,8.214705882352941,3.757744528223538,5.137393063279372,0.0,0.0,0.0,0.0,3.9000000000000004,No Tears,Low (0-5),High (10-15%)
669461,Matthew Liberatore,14,15,51.89,48.33,7.14,6.67,7.14,0.0,0.0,0.0,0.0,0.0,3,2,14.285714285714285,13.333333333333334,47.900000000000006,44.25,43.93333333333334,39.550000000000004,2.1282267345373276,2.1583740111491134,Nuclear,Nuclear,24.38214285714286,17.086666666666666,15.40766052154748,15.739037757239466,8.333333333333332,16.666666666666664,41.349999999999994,42.2,-3.5600000000000023,Moderate (5-15),No Tears,High (10-15%)
694037,Daniel Palencia,26,28,16.14,15.26,3.85,7.14,0.0,0.0,0.0,0.0,0.0,0.0,2,2,11.538461538461538,10.714285714285714,20.4,18.2,17.916666666666664,15.166666666666666,0.6275458585912687,0.640407931271217,Low-Vol,Low-Vol,10.348076923076924,7.580357142857144,4.54322530300294,4.669906400951821,0.0,0.0,0.0,0.0,-0.8800000000000008,No Tears,No Tears,High (10-15%)
669467,Andre Pallante,15,16,44.66,29.37,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,13.333333333333334,12.5,47.05,37.0,40.86666666666667,31.53333333333333,2.054401282268137,1.710738615838767,Nuclear,Gamma,19.626666666666672,11.309375,14.873188565174521,12.47484427090508,8.333333333333332,0.0,38.900000000000006,0.0,-15.289999999999996,No Tears,No Tears,High (10-15%)
608032,Carlos Estévez,33,34,15.24,16.53,3.03,2.94,0.0,0.0,0.0,0.0,0.0,0.0,2,2,12.121212121212121,11.76470588235294,19.65,17.0,17.433333333333334,16.133333333333336,0.5055350218620102,0.6790554303824257,Low-Vol,Low-Vol,9.084848484848484,8.345588235294118,3.6599070353734064,4.951727088465728,0.0,0.0,0.0,0.0,1.290000000000001,No Tears,No Tears,High (10-15%)
687911,Bryan King,34,34,20.52,19.43,5.88,8.82,0.0,2.94,0.0,0.0,0.0,0.0,2,3,11.76470588235294,11.76470588235294,22.150000000000002,19.05,21.083333333333336,18.099999999999998,1.0112305954736507,0.7321459405490989,Normal,Low-Vol,9.472058823529412,9.407352941176471,7.320976412528494,5.3388673800686215,0.0,0.0,0.0,0.0,-1.0899999999999999,No Tears,Low (0-5),High (10-15%)
667463,John King,30,21,17.02,24.73,6.67,4.76,0.0,4.76,0.0,0.0,0.0,0.0,2,3,10.0,14.285714285714285,17.55,18.25,13.966666666666667,13.416666666666666,0.7836182778032472,0.7765137531013028,Low-Vol,Low-Vol,3.608333333333333,5.185714285714286,5.67313820794424,5.662401055584611,0.0,0.0,0.0,0.0,7.710000000000001,No Tears,Low (0-5),Medium (5-10%)
700249,Cade Povich,13,9,28.11,28.23,7.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,0,15.384615384615385,11.11111111111111,28.950000000000003,37.75,28.566666666666666,33.38333333333333,1.207332441979125,1.512361067843216,Normal,High-IV,18.43846153846154,20.900000000000002,8.740689185407376,11.028259155460574,0.0,0.0,0.0,0.0,0.120000000000001,No Tears,No Tears,Elite (15%+)
657277,Logan Webb,16,18,43.03,42.24,0.0,5.56,0.0,0.0,0.0,0.0,0.0,0.0,0,2,12.5,11.11111111111111,60.1,58.05,57.25,51.75,2.036015284479636,2.2774294708620464,Nuclear,Nuclear,38.30625,30.30555555555556,14.740079997521496,16.607199793081318,7.6923076923076925,7.142857142857142,36.6,39.400000000000006,-0.7899999999999991,No Tears,No Tears,High (10-15%)
663423,Trent Thornton,20,13,18.36,22.91,5.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,2,2,10.0,15.384615384615385,16.6,17.9,12.166666666666666,17.666666666666668,0.8838843561946377,0.777222165919387,Low-Vol,Low-Vol,4.1049999999999995,10.838461538461537,6.39903158791687,5.667566859117245,0.0,0.0,0.0,0.0,4.550000000000001,No Tears,No Tears,Medium (5-10%)
663436,Davis Martin,14,12,28.24,30.2,0.0,8.33,0.0,0.0,0.0,0.0,0.0,0.0,0,2,14.285714285714285,16.666666666666664,38.3,38.150000000000006,34.266666666666666,31.21666666666667,1.290774025149171,1.2601526988491556,Normal,Normal,21.528571428571432,21.320833333333336,9.344778761955261,9.189135341985848,0.0,0.0,0.0,0.0,1.9600000000000009,No Tears,No Tears,High (10-15%)
